email_text,label,template_id
"Subject: Following up on our call

Hi Sarah,

Following up from our call earlier - could you send over the updated document we discussed? Here's the shared folder again in case you lost the link: http://account-amazon.top

Thanks,
Divya",phishing,phish_hard_4
"Subject: Photos from the weekend trip

Hi Anjali,

Attached are the photos from our trip last weekend. It was so much fun, we should plan another one soon! Let me know which ones you'd like printed.

Best,
Emma",legitimate,legit_easy_7
"Subject: Verify your new sign-in

Hi David,

We noticed a sign-in to your Acme Corp account from a new device just now. If this was you, no action is needed. If not, please reset your password immediately at https://acmecorp.com/security.

Acme Corp Account Security",legitimate,legit_hard_0
"Subject: Final Notice: DHL account limited due to suspicious activity

ATTENTION: Your DHL account has been flagged for suspicious activity. To avoid permanent account closure, verify your information now: http://dhl.com.verify-secure-login.ru - Enter your full name, password and social security number to confirm your identity. This is time sensitive!",phishing,phish_easy_5
"Subject: Urgent: Your Chase Bank account has been suspended

Dear Customer,

We detected unusual activity on your Chase Bank account. Your account has been temporarily limited. To restore full access, you must verify your identity immediately by clicking the link below:

http://chasebanksecurity-check.xyz

Failure to verify within 24 hours will result in permanent suspension of your account. This is your final warning!!!

Regards,
Chase Bank Security Team",phishing,phish_easy_0
"Subject: Urgent: Your PayPal account has been suspended

Dear Customer,

We detected unusual activity on your PayPal account. Your account has been temporarily limited. To restore full access, you must verify your identity immediately by clicking the link below:

http://45.33.102.19/login

Failure to verify within 24 hours will result in permanent suspension of your account. This is your final warning!!!

Regards,
PayPal Security Team",phishing,phish_easy_0
"Subject: Urgent: Your Facebook account has been suspended

Dear Customer,

We detected unusual activity on your Facebook account. Your account has been temporarily limited. To restore full access, you must verify your identity immediately by clicking the link below:

http://login-facebook-support.info

Failure to verify within 24 hours will result in permanent suspension of your account. This is your final warning!!!

Regards,
Facebook Security Team",phishing,phish_easy_0
"Subject: Invoice attached - please review

Hi Arjun,

Please review the attached invoice and process payment by Friday. Let me know if you have any questions about the amount. You can also view it directly here: http://192.168.44.201/verify

Regards,
Accounts Team",phishing,phish_hard_2
"Subject: Your package could not be delivered - Chase Bank action needed

Dear Customer,

Your parcel could not be delivered due to an unpaid customs fee. Please pay $2.99 to release your package: http://chasebank.com.verify-secure-login.ru

Failure to pay within 48 hours will result in the package being returned. Click here now to avoid delays.",phishing,phish_easy_6
"Subject: Draft agenda for Thursday's review

Hi team,

Here's the draft agenda for Friday's review meeting:
1. Q3 progress recap
2. Budget discussion
3. Open questions

Please add any additional topics you'd like to cover before 4:30 PM.

Thanks,
Arjun",legitimate,legit_easy_8
"Subject: Draft agenda for Thursday's review

Hi team,

Here's the draft agenda for Friday's review meeting:
1. Q3 progress recap
2. Budget discussion
3. Open questions

Please add any additional topics you'd like to cover before 3 PM.

Thanks,
Arjun",legitimate,legit_easy_8
